Geo Shape;NOM_ARRET;ID_PROJET;NOM_PROJET;ID_TRONCON;TRONCON;NATURE;ID_MODE;MODE;SOUS_MODE;COR_EXIST;TERMINUS;PHASE;VARIANTE;CREATION;PROLONG;AMELIOR;STATUT;MES;MES_date;DUP;DUP_DATE;OPENDATA;geo_point_2d
"{""type"": ""Point"", ""coordinates"": [1.91353050809466, 48.99259195475149]}";Les Mureaux;414;Train E - Ouest;414;RER E à l'Ouest - Mantes;arrêt;4;4;6;1;0;;;0;1;0;9;0;;1;;1;48.9925919548, 1.91353050809
"{""type"": ""Point"", ""coordinates"": [2.472074935614311, 48.90448678260086]}";Pont de Bondy;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;1;0;;;1;0;0;7;0;;0;;1;48.9044867826, 2.47207493561
"{""type"": ""Point"", ""coordinates"": [2.42004919466707, 48.89454890760493]}";Ernest Renan;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.8945489076, 2.42004919467
"{""type"": ""Point"", ""coordinates"": [2.409644519784259, 48.89244639554221]}";Delizy;244;TZen3;244;TZen3 : TCSP RN3;arrêt;2;2;3;0;0;;;1;0;0;7;0;;0;;1;48.8924463955, 2.40964451978
"{""type"": ""Point"", ""coordinates"": [2.544563643486854, 48.61548368473375]}";Carré Trait d'Union;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;1;1;;;1;0;0;7;0;;1;;1;48.6154836847, 2.54456364349
"{""type"": ""Point"", ""coordinates"": [2.604433534380405, 48.58468908946839]}";Maisonnement;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5846890895, 2.60443353438
"{""type"": ""Point"", ""coordinates"": [2.601065007658997, 48.57390530166021]}";Coulée verte;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5739053017, 2.60106500766
"{""type"": ""Point"", ""coordinates"": [2.621284234056607, 48.57228083877827]}";Haies fleuries;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5722808388, 2.62128423406
"{""type"": ""Point"", ""coordinates"": [2.646738310367105, 48.55305329271006]}";Beauregard;243;TZen2;243;TZen2 : TCSP Melun - Sénart;arrêt;2;2;3;0;0;;;1;0;0;7;0;;1;;1;48.5530532927, 2.64673831037
"{""type"": ""Point"", ""coordinates"": [2.386206654643861, 48.792891569307116]}";Musée Mac/Val;315;Tram 09;315;T9 : Tramway Paris - Orly;arrêt;3;3;4;0;0;1;;1;0;0;8;0;;1;;1;48.7928915693, 2.38620665464
"{""type"": ""Point"", ""coordinates"": [2.472622351872705, 48.98260414697402]}";Triangle de Gonesse;209;bus ligne 20;209;BHNS Gonesse;arrêt;2;2;2;0;0;;;1;0;0;9;0;;1;;1;48.982604147, 2.47262235187
"{""type"": ""Point"", ""coordinates"": [2.431757987726843, 48.9916216068177]}";Grande Vallée;209;bus ligne 20;209;BHNS Gonesse;arrêt;2;2;2;0;0;;;1;0;0;9;0;;1;;1;48.9916216068, 2.43175798773
"{""type"": ""Point"", ""coordinates"": [2.45105693249476, 48.993315819997875]}";Gonesse-Hôpital;209;bus ligne 20;209;BHNS Gonesse;arrêt;2;2;2;0;0;;;1;0;0;9;0;;1;;1;48.99331582, 2.45105693249
"{""type"": ""Point"", ""coordinates"": [2.333319487111158, 48.67627612432738]}";Petit Vaux;318;Tram 12;318;Tram-Train Massy-Évry;arrêt;3;3;5;1;0;;;1;0;0;8;0;;1;;1;48.6762761243, 2.33331948711
"{""type"": ""Point"", ""coordinates"": [2.365973884353272, 48.9065790566868]}";Front Populaire;111;metro 12;111;ligne 12 à Mairie d'Aubervilliers;arrêt;1;1;1;0;1;;;0;1;0;9;0;;1;;1;48.9065790567, 2.36597388435
"{""type"": ""Point"", ""coordinates"": [2.136113470872989, 48.795263616986766]}";Versailles Chantiers;905;pôle de Versailles Chantiers;;pôle de Versailles Chantiers;pôle multimodal;9;9;9;0;0;;;0;0;0;9;0;1899-12-30T00:00:00+00:00;0;;1;48.795263617, 2.13611347087
"{""type"": ""Point"", ""coordinates"": [2.312791961501292, 48.894980810725315]}";Porte de Clichy;122;GPE - m14;122;GPE - ligne 14 - nord - phase 1 - Mairie de St-Ouen;arrêt;1;1;1;1;0;nord/1;;0;1;0;9;0;;0;;1;48.8949808107, 2.3127919615
"{""type"": ""Point"", ""coordinates"": [2.267186982538872, 48.90527300328329]}";Bécon-les-Bruyères;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 2;arrêt;1;1;1;1;0;ouest/2;;1;0;0;7;0;;0;;1;48.9052730033, 2.26718698254
"{""type"": ""Point"", ""coordinates"": [2.259703402765518, 48.821103539896825]}";Issy RER;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.8211035399, 2.25970340277
"{""type"": ""Point"", ""coordinates"": [2.313910605202605, 48.921127972330986]}";Les Grésillons;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 2;arrêt;1;1;1;1;0;ouest/2;;1;0;0;7;0;;0;;1;48.9211279723, 2.3139106052
"{""type"": ""Point"", ""coordinates"": [2.472705082393741, 48.806791475686424]}";Saint-Maur - Créteil;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.8067914757, 2.47270508239
"{""type"": ""Point"", ""coordinates"": [2.287919698107164, 48.92243865754812]}";Les Agnettes;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 2;arrêt;1;1;1;1;0;ouest/2;;1;0;0;7;0;;0;;1;48.9224386575, 2.28791969811
"{""type"": ""Point"", ""coordinates"": [2.32835256184638, 48.79746668039917]}";Arcueil-Cachan;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.7974666804, 2.32835256185
"{""type"": ""Point"", ""coordinates"": [2.318679120665014, 48.80275710403365]}";Bagneux M4;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.802757104, 2.31867912067
"{""type"": ""Point"", ""coordinates"": [2.367221497620697, 48.78846490246399]}";Villejuif Louis Aragon;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;1;0;sud;;1;0;0;8;0;;0;;1;48.7884649025, 2.36722149762
"{""type"": ""Point"", ""coordinates"": [2.408869412203814, 48.782304003136076]}";Les Ardoines;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;0;0;sud;;1;0;0;8;0;;0;;1;48.7823040031, 2.4088694122
"{""type"": ""Point"", ""coordinates"": [2.502220893334878, 48.816169250746356]}";Champigny Centre;122;GPE - m15;122;GPE - ligne 15 - sud;arrêt;1;1;1;0;1;sud;;1;0;0;8;0;;0;;1;48.8161692507, 2.50222089333
"{""type"": ""Point"", ""coordinates"": [2.225381150647627, 48.89788792079952]}";Nanterre - La Folie;122;GPE - m15;122;GPE - ligne 15 - ouest - phase 1;arrêt;1;1;1;0;1;ouest/1;;1;0;0;7;0;;0;;1;48.8978879208, 2.22538115065
"{""type"": ""Point"", ""coordinates"": [2.422886830841271, 48.930769678407266]}";Le Bourget RER;122;GPE - m16;122;GPE - ligne 16;arrêt;1;1;1;1;0;;;1;0;0;7;0;;0;;1;48.9307696784, 2.42288683084
"{""type"": ""Point"", ""coordinates"": [2.487856648055403, 48.951837741072644]}";Aulnay;122;GPE - m16;122;GPE - ligne 16;arrêt;1;1;1;0;0;;;1;0;0;7;0;;0;;1;48.9518377411, 2.48785664806
"{""type"": ""Point"", ""coordinates"": [2.346577368641346, 48.91746710608594]}";Saint-Denis Pleyel;122;GPE - m17;122;GPE - ligne 17 - phase 1;arrêt;1;1;1;1;1;1;;1;0;0;7;0;;0;;1;48.9174671061, 2.34657736864
"{""type"": ""Point"", ""coordinates"": [2.477479064206721, 48.97893488554907]}";Triangle de Gonesse;122;GPE - m17;122;GPE - ligne 17 - phase 1;arrêt;1;1;1;1;0;1;;1;0;0;7;0;;0;;1;48.9789348855, 2.47747906421
"{""type"": ""Point"", ""coordinates"": [2.514444379860927, 48.973519574487604]}";Parc des expositions;122;GPE - m17;122;GPE - ligne 17 - phase 1;arrêt;1;1;1;0;0;1;;1;0;0;7;0;;0;;1;48.9735195745, 2.51444437986
"{""type"": ""Point"", ""coordinates"": [2.477479064206721, 48.97893488554907]}";Triangle de Gonesse;122;GPE - m17;122;GPE - ligne 17 - phase 1;arrêt;1;1;1;1;1;1;;1;0;0;7;0;;0;;1;48.9789348855, 2.47747906421
"{""type"": ""Point"", ""coordinates"": [1.686957320596896, 48.99923104907819]}";;214;bus Mantes la-Jolie;214;TCSP Mantes-la-Jolie/Gare du Mantois;arrêt;2;2;2;0;0;;;1;0;0;3;0;1899-12-30T00:00:00+00:00;0;;1;48.9992310491, 1.6869573206
